AL032669	2L52
AL023843	Y48A6A
AL023844	Y48A6B
AL032642	Y48A6C
AL110490	Y48B6A
AL117203	Y48C3A
AC006783	Y48D7A
Z93392	Y48E1A
Z93393	Y48E1B
Z93394	Y48E1C
AC024792	Y48G1A
AC024793	Y48G1BL
AC024794	Y48G1BM
AC024795	Y48G1BR
AC024796	Y48G1C
AC025721	Y48G8AL
AC024797	Y48G8AR
AC024798	Y48G9A
AL132847	Y48G10A
AL033512	Y49A3A
AL032624	Y49A10A
AC024799	Y49C4A
Z98866	Y49E10
AC024800	Y49F6A
AC006790	Y49F6B
AF125463	Y49F6C
AF125968	Y49G5A
AF125967	Y49G5B
AC006792	Y50C1A
AC006794	Y50D4A
AC006795	Y50D4B
AC025722	Y50D4C
AC024801	Y50D7A
AL117200	Y50E8A
AF125457	Y50F7A
AL032635	Y51A2A
AL021493	Y51A2B
AL021494	Y51A2C
AL021497	Y51A2D
AL023845	Y51B9A
AC006797	Y51B11A
AC103567	Y51F10
AL032644	Y51H1A
AL132952	Y51H4A
AC024802	Y51H7BL
AC024803	Y51H7BM
AC024804	Y51H7BR
AC024805	Y51H7C
AF125456	Y51H7D
AL032654	Y52B11A
AL032638	Y52B11B
AL023846	Y52B11C
Z99276	Y52D3
AC006801	Y52D5A
AC024806	Y52E8A
AL033536	Y53C10A
Z99277	Y53C12A
Z99278	Y53C12B
Z95623	Y53C12C
AL033123	Y53C12D
AL110494	Y53F4A
AL132949	Y53F4B
AC006803	Y53G8A
AC024807	Y53G8AL
AC024808	Y53G8AM
AC024809	Y53G8AR
AC006804	Y53G8B
AL132864	Y53H1A
AL132851	Y53H1B
AL117201	Y53H1C
AC006805	Y54B9A
AF098998	Y54C5A
AF078791	Y54C5B
AL032646	Y54E2A
AL032643	Y54E5A
AL032653	Y54E5B
AC024810	Y54E10A
AC024811	Y54E10BL
AC024812	Y54E10BR
AC024813	Y54F10AL
AC025723	Y54F10AM
AC024814	Y54F10AR
AC024815	Y54F10BL
AC026301	Y54F10BM
AC024816	Y54F10BR
AC024817	Y54G2A
AL032648	Y54G9A
AL034488	Y54G11A
AL021181	Y54G11B
AC024818	Y54H5A
AC024819	Y55B1AL
AC024820	Y55B1AM
AC024821	Y55B1AR
AC024822	Y55B1BL
AC024823	Y55B1BM
AC024824	Y55B1BR
AC084196	Y55D5A
AL032649	Y55D9A
AC024825	Y55F3AL
AC024826	Y55F3AM
AC024827	Y55F3AR
AC024828	Y55F3BL
AC024829	Y55F3BM
AC024830	Y55F3BR
AC024831	Y55F3C
AF100675	Y55H10A
AC006806	Y55H10B
AL132860	Y56A3A
AL117195	Y57A10A
AL032647	Y57A10B
AL023847	Y57A10C
AC024832	Y57E12AL
AC024833	Y57E12AM
AC024140	Y57E12AR
AC024835	Y57E12B
AF077542	Y57G7A
Z99279	Y57G11A
Z99280	Y57G11B
Z99281	Y57G11C
AC006807	Y58A7A
AC006808	Y58G8A
AL132895	Y59A8A
AL132898	Y59A8B
AF099003	Y59C2A
AC024836	Y59E1A
AC024837	Y59E1B
AC024838	Y59E9AL
AC024839	Y59E9AR
AC024840	Y59H11AL
AC024841	Y59H11AM
AC024842	Y59H11AR
AL117207	Y60A3A
AL110495	Y60A9A
AF125970	Y60C6A
AC024843	Y61A9LA
AL021501	Y61B8A
AL021504	Y61B8B
AL132865	Y62E10A
AL110499	Y62F5A
AL032630	Y62H9A
AL032652	Y63D3A
AC006811	Y64C7A
AL023848	Y64F11A
AL110498	Y64G10A
AC006812	Y64H9A
Z92864	Y65A5A
AC024844	Y65B4A
AC024845	Y65B4BL
AC024846	Y65B4BM
AC024847	Y65B4BR
AC006813	Y65D7A
AL590343	Y66A7AL
AL590342	Y66A7AR
AL021502	Y66C5A
AL161712	Y66D12A
AF125462	Y66H1A
AF100673	Y66H1B
AL032645	Y67A6A
AL117206	Y67A10A
AL023849	Y67A10B
AC091125	Y67D2
AC024848	Y67D8A
AC024849	Y67D8B
AC025724	Y67D8C
AL023850	Y67D11A
AL132951	Y67H2A
AL021503	Y68A4A
AL023851	Y68A4B
AF125966	Y68G5A
AC024850	Y69A2AL
AC084158	Y69A2AR
AL034365	Y69E1A
AC006814	Y69F12A
Z98877	Y69H2
Z99282	Y70C5A
AL021508	Y70C5B
Z99283	Y70C5C
AL021507	Y70C5D
AL033513	Y70D2A
AL032660	Y70G10A
AL023854	Y71A12A
AL132902	Y71A12B
AL023853	Y71A12C
AC006816	Y71D11A
AC024200	Y71F9AL
AC024852	Y71F9AM
AC024853	Y71F9AR
AC024201	Y71F9B
AC024855	Y71G10AL
AC024856	Y71G10AR
AC024857	Y71G12A
AC025726	Y71G12B
AC024858	Y71H2AL
AC024859	Y71H2AM
AC024860	Y71H2AR
AC024202	Y71H2B
AL032659	Y71H9A
AF098505	Y71H10A
AF099002	Y71H10B
AC024203	Y72A2A
AC006817	Y72A10A
AF043705	Y73A3A
AC084159	Y73B3A
AC084160	Y73B3B
AC024204	Y73B6A
AC084197	Y73B6BL
AC024863	Y73B6BR
AF101317	Y73C8A
AC024205	Y73C8B
AF101318	Y73C8C
AC025727	Y73E7A
AL032661	Y73F4A
AL132862	Y73F8A
AC024206	Y74C9A
AC024865	Y74C10AL
AC024866	Y74C10AM
AC024867	Y74C10AR
AC024207	Y74E4A
AC024869	Y75B7AL
AC024870	Y75B7AR
AC024208	Y75B7B
AL033514	Y75B8A
AL032662	Y75B12A
AL032663	Y75B12B
AC024209	Y75D11A
AC006822	Y75D11B
AC024210	Y75D11B
AL032665	Y76A2A
AL032658	Y76A2B
AL032666	Y76A2C
AF125458	Y76B12A
AC024211	Y76B12C
AC024212	Y76F7A
AF106588	Y76G2A
AC024213	Y76G2B
AC024214	Y77E11A
AL110501	Y79H2A
AL132853	Y80D3A
AC006825	Y80D4G
AC006826	Y80E2A
AC006827	Y81B9A
AL034543	Y81G3A
AC087081	Y82E9BL
AC090999	Y82E9BR
AL110500	Y87G2A
AL032664	Y91F4A
AC024874	Y92C3A
AC024875	Y92C3B
AC084161	Y92H12A
AC084268	Y92H12BL
AC087082	Y92H12BM
AC087232	Y92H12BR
AL023857	Y94A7A
AL023856	Y94A7B
AC024876	Y94H6A
AC024877	Y95B8A
AL132852	Y95D11A
AC024878	Y97E10AL
AC024879	Y97E10AM
AC024880	Y97E10AR
AC024881	Y97E10B
AC006828	Y97E10C
AL023822	Y102A5A
AL023821	Y102A5B
AL031627	Y102A5C
AL031628	Y102A5D
AC084152	Y102A11A
U49954	Y102E9
AL032629	Y102F5A
AC006699	Y104H12A
AC024742	Y104H12BL
AC024743	Y104H12BR
AC006700	Y104H12C
AC006701	Y104H12D
AL117193	Y105C5A
AL110479	Y105C5B
AL132876	Y105E8A
AL132877	Y105E8B
AL032633	Y106G6A
AL023824	Y106G6B
AL023823	Y106G6C
AL031629	Y106G6D
AL032656	Y106G6E
AL032619	Y106G6F
AL033508	Y106G6G
AL032631	Y106G6H
AC024744	Y108G3AL
AC024745	Y108G3AR
AC006703	Y108G3B
AC024746	Y110A2AL
AC024747	Y110A2AM
AC024748	Y110A2AR
AC006707	Y110A2B
AC006708	Y110A7A
AL132904	Y111B2A
AL132858	Y113G7A
AL110477	Y113G7B
AL033509	Y113G7C
AL117205	Y116A8A
AL021469	Y116A8B
AL117204	Y116A8C
AL132872	Y116F11A
AL132943	Y116F11B
AC006709	Y119C1A
AC006712	Y119C1B
AC006711	Y119C1C
AC006713	Y119D3A
AC006714	Y119D3B
U64862	ZC8
U67953	ZC13
Z93396	ZC15
L16685	ZC21
Z81141	ZC47
U47144	ZC53
U39740	ZC64
Z19157	ZC84
L14714	ZC97
Z93395	ZC101
Z74046	ZC116
AF043706	ZC123
AF014939	ZC132
U64841	ZC142
U00064	ZC155
Z70312	ZC168
AF024496	ZC178
AF078788	ZC190
U97007	ZC196
U80839	ZC204
U80842	ZC239
Z80221	ZC247
AF003383	ZC250
L23647	ZC262
U53140	ZC266
Z73978	ZC302
AF024497	ZC308
U64840	ZC317
AF000194	ZC328
Z82082	ZC334
Z49131	ZC373
Z72518	ZC374
Z77136	ZC376
U13642	ZC395
U55363	ZC404
Z68270	ZC410
U53146	ZC411
Z78067	ZC412
AF036701	ZC416
Z75714	ZC434
Z75553	ZC443
U41510	ZC449
Z75554	ZC455
U40802	ZC477
Z93397	ZC482
U50310	ZC487
Z50029	ZC504
Z47073	ZC506
U53155	ZC513
Z68753	ZC518
AF003134	ZC581
AF067942	ZK6
Z69904	ZK20
Z82093	ZK39
U64839	ZK40
U58737	ZK54
U23451	ZK75
U23181	ZK84
AC006830	ZK105
L14324	ZK112
AC006831	ZK121
Z83245	ZK131
U70844	ZK154
U21321	ZK177
U58748	ZK180
AF036704	ZK185
Z82085	ZK218
Z82086	ZK228
AF025472	ZK250
Z82088	ZK256
Z99288	ZK262
Z81143	ZK265
Z82089	ZK270
AL023858	ZK285
Z70757	ZK287
U50193	ZK328
Z82090	ZK337
L15313	ZK353
U88172	ZK354
AC006832	ZK355
M98552	ZK370
U88183	ZK377
AF067215	ZK380
U52003	ZK381
Z82092	ZK384
U40425	ZK389
U40956	ZK402
U00047	ZK418
U42833	ZK430
Z66567	ZK455
U39651	ZK470
AF040659	ZK484
AF022984	ZK488
Z29116	ZK507
Z22177	ZK512
Z92822	ZK520
Z73912	ZK524
Z82094	ZK525
U29380	ZK546
Z82287	ZK550
U40061	ZK563
Z69385	ZK593
Z69386	ZK596
AC006833	ZK616
Z73897	ZK617
U39998	ZK622
Z22181	ZK632
Z11115	ZK637
Z12018	ZK638
Z11126	ZK643
L14429	ZK652
Z79604	ZK662
Z49132	ZK666
Z37093	ZK669
Z48585	ZK673
Z46812	ZK675
Z79605	ZK678
U41110	ZK682
L17337	ZK686
L16621	ZK688
AF039042	ZK697
U40951	ZK721
U64855	ZK742
Z29121	ZK757
U97404	ZK770
U13646	ZK783
Z68302	ZK792
Z83246	ZK795
Z68303	ZK809
U40954	ZK813
U41018	ZK816
Z73898	ZK822
Z73899	ZK829
Z78201	ZK836
Z82095	ZK849
Z70783	ZK856
Z79759	ZK858
Z78019	ZK863
U41039	ZK867
Z48638	ZK892
Z82288	ZK896
Z69665	ZK897
Z37140	ZK899
Z82096	ZK909
Z70213	ZK930
Z49913	ZK938
Z48544	ZK945
Z49073	ZK970
Z49074	ZK971
AC006834	ZK973
AC006835	ZK993
AF022977	ZK994
AF047664	ZK1005
Z82083	ZK1010
Z79698	ZK1014
AL022288	ZK1025
Z81142	ZK1037
Z82084	ZK1053
AF068721	ZK1055
Z35604	ZK1058
Z70038	ZK1067
Z68135	ZK1073
Z70269	ZK1086
AF067221	ZK1087
Z22176	ZK1098
U58758	ZK1127
Z47357	ZK1128
U41747	ZK1131
Z93398	ZK1151
U41553	ZK1193
AL022289	ZK1225
L13200	ZK1236
AF016677	ZK1240
U29244	ZK1248
Z68222	ZK1251
U21308	ZK1290
Z47358	ZK1307
Z46934	ZK1320
Z48584	ZK1321
